Topic,Count,Name
-1,1273,-1_voter_campaign
0,305,0_60minutes_johnrobertsfox
1,115,1_thedemcoalition_theblaze
2,108,2_unbelievable_server
3,91,3_democrat_democats
4,91,4_votehimout_votethemallout
5,71,5_racist_racism
6,67,6_protocol_pict
7,64,7_kamalaharris_senkamalaharris
8,62,8_sleepyjoe_lovesthewords
9,59,9_care_healthcare
10,58,10_voting_impeachable
11,53,11_pandemic_coronavirus
12,53,12_tellin_danrather
13,51,13_folk_win
14,48,14_tax_retirement
15,46,15_business_loan
16,41,16_twitter_twitterverse
18,38,18_hacked_hacker
17,38,17_compromised_obamacare
20,38,20_impeached_democrat
19,38,19_jomalleydillon_lancebottoms
21,37,21_corrupt_honestly
22,37,22_journalist_donaldjtrumpjr
23,37,23_greeted_politicalshoots
24,37,24_danielsgoldman_fixit
25,36,25_rudygiuliani_battletested5
26,36,26_factch_care
27,35,27_travel_campaign
28,35,28_ksorbs_fcker
29,34,29_corruption_injustice
30,33,30_suffering_fatherson
31,33,31_vote_votetrump2020
32,33,32_court_prosecuted
33,33,33_news_newsmax
34,33,34_jessebwatters_kevinmkruse
35,32,35_stuttering_stutteringjohnm
36,32,36_jaboukie_georgegalloway
37,31,37_child_parent
40,30,40_stock_market
41,30,41_actioncookbook_moorartgallery
38,30,38_murder_terrorism
39,30,39_interview_delusional
42,29,42_answer_answering
43,29,43_complaining_interview
44,29,44_suburban_city
45,28,45_johnrobertsfox_reallyamerican1
46,28,46_worldseries_donovandpotter
47,28,47_watch_danrather
48,27,48_therickwilson_trumpwarroom
